business_day,month,day_of_week,spend_in_minutes,num_outgoing_emails
6/2/2025,June,Monday,0,0
6/3/2025,June,Tuesday,0,0
6/4/2025,June,Wednesday,3,2
6/5/2025,June,Thursday,102,38
6/6/2025,June,Friday,0,0
6/9/2025,June,Monday,2,2
6/10/2025,June,Tuesday,2,1
6/11/2025,June,Wednesday,90,35
6/12/2025,June,Thursday,0,0
6/13/2025,June,Friday,10,1
6/16/2025,June,Monday,0,0
6/17/2025,June,Tuesday,7,4
6/18/2025,June,Wednesday,75,43
6/20/2025,June,Friday,0,0
6/23/2025,June,Monday,0,0
6/24/2025,June,Tuesday,17,6
6/25/2025,June,Wednesday,48,28
6/26/2025,June,Thursday,10,7
6/27/2025,June,Friday,0,0
6/30/2025,June,Monday,20,11
7/1/2025,July,Tuesday,0,0
7/2/2025,July,Wednesday,28,17
7/3/2025,July,Thursday,4,3
7/7/2025,July,Monday,0,0
7/8/2025,July,Tuesday,0,0
7/9/2025,July,Wednesday,0,0
7/10/2025,July,Thursday,80,33
7/11/2025,July,Friday,8,4
7/14/2025,July,Monday,0,0
7/15/2025,July,Tuesday,0,0
7/16/2025,July,Wednesday,0,0
7/17/2025,July,Thursday,62,36
7/18/2025,July,Friday,0,0
7/21/2025,July,Monday,7,3
7/22/2025,July,Tuesday,6,2
7/23/2025,July,Wednesday,0,0
7/24/2025,July,Thursday,55,28
7/25/2025,July,Friday,0,0
7/28/2025,July,Monday,0,0
7/29/2025,July,Tuesday,1,1
7/30/2025,July,Wednesday,0,0
7/31/2025,July,Thursday,46,20
8/1/2025,August,Friday,26,18
8/4/2025,August,Monday,0,0
8/5/2025,August,Tuesday,2,1
8/6/2025,August,Wednesday,2,1
8/7/2025,August,Thursday,42,24
8/8/2025,August,Friday,32,17
8/11/2025,August,Monday,0,0
8/12/2025,August,Tuesday,0,0
8/13/2025,August,Wednesday,3,2
8/14/2025,August,Thursday,0,0
8/15/2025,August,Friday,0,0
8/18/2025,August,Monday,0,0
8/19/2025,August,Tuesday,0,0
8/20/2025,August,Wednesday,0,0
8/21/2025,August,Thursday,0,0
8/22/2025,August,Friday,0,0
8/25/2025,August,Monday,0,0
8/26/2025,August,Tuesday,121,65
8/27/2025,August,Wednesday,2,1
8/28/2025,August,Thursday,2,1
8/29/2025,August,Friday,0,0
9/2/2025,September,Tuesday,0,0
9/3/2025,September,Wednesday,73,38
9/4/2025,September,Thursday,14,7
9/5/2025,September,Friday,5,1
